id,name,capacity
00332, 을지로2가 사거리 남측,5
00334, 종로3가역 2번출구 뒤,10
00335, 종로3가역 15번출구 앞,10
00336, 충무로역 6번출구 앞,8
00337, 창경궁 입구,5
00338,세운스퀘어 앞,18
00339, 종로4가 사거리,10
00340, 혜화동 로터리,8
00341, 혜화역 3번출구 뒤,8
00342, 대학로 마로니에공원,22
00343,힐스테이트창경궁 아파트 앞,6
00344, 성균관대 E하우스 앞,10
00345, 서울보증보험본사 앞,18
00346, 맥스타일 앞,10
00347, 동대문역사문화공원역 9번출구 앞,18
00348, 독립문역 사거리,14
00349,어린이도서관,5
00351, 청운초교 앞 삼거리,5
00352, 중앙고입구 삼거리,10
00353, 재동초교 앞 삼거리,8
00354, 포르투갈 대사관 앞,10
00355,서울사대부설초등학교 앞,15
00356, KT혜화지사 앞,15
00358,성균관대입구 사거리 A,13
00359, 원남동사거리,8
00361, 동묘앞역 1번출구 뒤,10
00362, 청계8가 사거리 A,10
00363, 신설동역 11번출구 뒤,13
00364, 창신역 1번출구 앞,8
00367, 독립문역 3-1번출구,13
00368, SK 서린빌딩 앞,15
00370, 시청역(2호선) 9번출구 뒤,24
00371, 동대입구역 6번출구 뒤,10
00372, 약수역 3번출구 뒤,10
00374, 청구역 2번출구 앞,12
00379, 서울역9번출구,7
00380, CJ제일제당 앞,8
00381, 장충체육관,15
00382, 약수역 10번출구 앞,7
00383, 신당역 12번 출구 뒤,22
00384, 종로학원본원,10
00385, 종각역 5번출구,10
00387, 훈련원공원주차장 앞,10
00388, 동성중학교 앞,10
00389, 을지로4가역 1번출구,10
00390, 충무로역 1번출구,12
00391, 시립미술관,8
00393, 동대문역 8번 출구,12
00394, 경희궁 자이 3단지,15
00395, 경희궁 자이 2단지,8
00397, 종묘공영주차장 건너편,13
00398, 을지로3가역 3번출구,8
00399, 서울역 센트럴 자이아파트,15
00400, 상암한화오벨리스크 1차 앞,14
00401, 상암월드컵파크 10단지 앞,13
00402, 상암월드컵파크 9단지 앞,20
00403, 부엉이공원 앞,20
00405, DMC빌 앞,8
00406, 상암월드컵파크 7단지 앞,15
00407, 마포구 육아종합지원센터,8
00408, LG CNS앞,14
00409, 누리꿈스퀘어 옆,30
00410, 상암중학교 옆,10
00411, DMC홍보관,10
00412, DMC산학협력연구센터 앞,21
00413, 상암월드컵파크 3단지 후문,10
00414, 상암동주민센터 옆,8
00415, DMC역 9번출구 앞,10
00416, 상암월드컵파크 1단지 교차로,12
00417, DMC역 2번출구 옆,20
00418, 월드컵경기장역 3번출구 옆,20
00419,홈플러스 마포점 앞,21
00420, 서울시 공공자전거 상암센터,37
00421, 마포구청 앞,8
00422, 문화비축기지,9
00424, 롯데하이마트 (상암월드컵점),15
00425, DMC첨단산업센터,10
00426, 서울신용보증재단,10
00427, 성산시영아파트,10
00428, 명보사거리,10
00429, 송도병원,8
00430, 장충동먹자골목 앞,6
00431, 청계천 영도교,25
00432, 마포중앙도서관,10
00433, 을지로입구역 2번출구,12
00434, 신당 래미안 버스정류장,10
00435, SK 남산빌딩,10
00436, 이대역 5번출구,10
00437, 대흥역1번출구,12
00438, 성산2-1 공영주차장,15
00440, 하늘공원 입구,15
00441,염천교사거리,15
00442,서울역 서부,13
00443,호암아트홀,9
00445,대한상공회의소,15
00446, 상명대입구,13
00447, 신영동삼거리,6
00449, 일성아파트,10
00450, 효자동 삼거리,51
00451, 청와대앞길,8
00452, 동대문 종합시장 버스정류장,13
00453, 종로오가 지하쇼핑센터 14번출구,10
00454, 종로2가 버스정류장 (종각방향),13
00455, 종로6가역 버스정류장(동대문 방향),8
00456, 숭인2동 주민센터 입구,10
00457, 종로꽃시장 입구 옆,10
00458, 광화문역 5번출구,21
00461, 서울지방경찰청,10
00464, 삼청동 골목,10
00465, 삼청공원 앞,5
00466,롯데호텔,13
00467,한국은행,11
00468,웨스틴 조선호텔,8
00469,회현역 1번출구,11
00470,회현역 7번출구,13
00471,회현사거리 남측,10
00472,삼일교(시그니쳐 타워),12
00473,을지로4가역 9번출구,20
00474,동대문역사문화공원역 1번출구 뒤편,40
00475,DDP 패션몰,21
00476,광희문,10
00477,앰배서더 호텔 주변,10
00479,동대입구역 3번 출구,8
00480,약수역 6번 출구,8
00483,남산타운아파트 버스정류장,12
00485,서울역5번출구,10
00486, 평창동주민센터 앞,5
00488,푸르메병원,10
00489,구룡근린공원,10
00490,가온문화공원,23
00491,월드컵파크 4단지,10
