station_id,name,capacity,district,address,latitude,longitude,installed_at
00590, 건국대학교 (입학정보관),20,광진구,서울특별시 광진구 능동로 120 입학정보관,37.53989029,127.0733643,2017-08-30
00591, 건국대학교 (행정관),5,광진구,서울특별시 광진구 능동로 120 행정관,37.54277802,127.0753708,2017-08-30
00592, 건국대학교 학생회관,30,광진구,서울특별시 광진구 능동로 120 학생회관,37.54191208,127.0776367,2017-08-30
03523, 건국대학교 과학관(이과대) 앞,10,광진구,서울특별시 광진구 능동로 120 건국대학교 과학관(이과대) 앞,37.54171753,127.0801697,2018-04-16
03860, 건국대학교 정문 앞,10,광진구,서울특별시 광진구 광나루로 416,37.5465126,127.0757141,2020-12-09
03900,건국대학교 신공학관,10,광진구,서울특별시 광진구 능동로 120,37.54088593,127.0792847,2024-11-07
03569,건대병원후문,12,광진구,서울특별시 광진구 화양동 4-1,37.53956604,127.0724411,2020-05-07
